State,Action 0 (No saltar),Action 1 (Saltar)
"(4, 4, 1, 0)",0.0,10.23386830307443
"(4, 4, 1, 1)",10.242137257229892,0.0
"(5, 4, 1, 1)",10.039484243877315,0.804117755489811
"(5, 4, 1, 0)",10.043870785186565,0.33
"(5, 5, 1, 0)",10.052156831157339,0.33
"(6, 5, 1, 0)",10.062007896909515,0.679179
"(6, 6, 1, 0)",10.073719569238154,0.0
"(6, 7, 1, 0)",10.087643260122194,0.33
"(7, 7, 1, 0)",10.097380051762789,0.41100000000000003
"(7, 8, 1, 0)",0.0,10.11577252958958
"(7, 8, 1, 1)",10.017523165875506,0.44817900000000005
"(7, 9, 1, 0)",10.019468051552796,0.0
"(8, 10, 1, 0)",10.023142919495651,0.0
"(8, 11, 1, 0)",10.027511420578847,0.33
"(8, 12, 1, 0)",10.030564732835554,0.0
"(9, 13, 1, 0)",10.036334225386133,0.8075738063636643
"(10, 13, 1, 0)",10.051172384826309,3.4864677429783
"(11, 13, 1, 0)",10.075594113385637,0.0
"(12, 13, 1, 0)",0.0,10.106466771099683
"(12, 12, 1, 1)",10.00717651470479,0.0
"(12, 12, 1, 0)",10.007967528434676,0.0
"(12, 11, 1, 0)",10.008850634785002,0.33
"(13, 11, 1, 0)",10.010526666458288,0.6299944809281319
"(13, 10, 1, 0)",10.012528533575287,0.33
"(14, 10, 1, 1)",1.227806503576282,0.0
"(14, 10, 1, 0)",10.016783765620598,0.9902221282542043
"(15, 10, 1, 0)",10.023688011401228,2.339270965740494
"(16, 10, 1, 1)",2.1327679619850946,0.0
"(16, 10, 1, 0)",10.033447321527909,0.0
"(16, 11, 1, 0)",10.039899292737765,0.7428043210798907
"(16, 12, 1, 0)",10.050623427548276,0.0
"(17, 12, 1, 0)",10.056482546070214,0.3
"(17, 13, 1, 0)",10.067409837631843,0.0
"(18, 13, 1, 0)",10.085515972304389,1.9408775256267687
"(19, 13, 1, 0)",10.120773406238843,1.1078235643323253
"(20, 13, 1, 0)",10.17881970886607,1.1584836216984746
"(21, 13, 1, 0)",0.3,10.25235571341181
"(21, 12, 1, 1)",10.189461380565826,0.0
"(21, 12, 1, 0)",10.210988776530021,0.33
"(21, 11, 1, 0)",10.234792904681436,0.33
"(22, 11, 1, 0)",10.261167352634018,0.7785453705215049
"(22, 10, 1, 0)",10.330491454494402,0.0
"(23, 10, 1, 0)",0.0,10.418302945413094
"(23, 10, 1, 1)",2.1741370502617317,10.354478561803642
"(24, 10, 1, 1)",10.137941772335935,0.0
"(24, 10, 1, 0)",10.155655836865101,1.051864282646775
"(25, 10, 1, 0)",0.742308,10.211669225643409
"(25, 10, 1, 1)",10.207741446152756,0.0
"(25, 11, 1, 0)",0.8036336321699998,10.183963835698913
"(25, 11, 1, 1)",10.070972402992785,0.0
"(26, 12, 1, 0)",10.013990068236815,0.0
"(26, 13, 1, 0)",10.030229964959409,2.033510079786688
"(27, 13, 1, 0)",10.050869443046299,1.3490532991428714
"(28, 12, 1, 1)",10.01091361073204,0.0
"(28, 12, 1, 0)",10.028946122129678,1.184033136540559
"(28, 11, 1, 0)",0.47983539000000003,10.045365061661785
"(28, 11, 1, 1)",9.949219529086571,0.0
"(29, 10, 1, 0)",9.948251123466578,1.1771325815274178
"(30, 10, 1, 0)",9.941202964045976,0.827757
"(30, 10, 1, 1)",1.5529565336434399,0.0
"(31, 10, 1, 0)",9.925318726699267,0.886941237359406
"(32, 11, 1, 0)",9.899582667337956,0.44817900000000005
